NR_ADMINISTRATIE	DT_BEGIN_RECORD	DT_EINDE_RECORD	CODE_FUNCTIE	CODE_SOORT	URL
CL2005	20140801		O	TCL	www.viertaal.nl
PO0001	20130301	20140422	S	PAPO	www.berseba.nl
PO0001	20140422		S	PAPO	www.berseba.nl
PO2001	20160101	20160418	S	PAPO	www.passendonderwijsgroningen.nl
PO2001	20160418		S	PAPO	www.passendonderwijsgroningen.nl
PO2001	20131101	20141023	S	PAPO	www.passendonderwijsgroningen.nl
PO2001	20141023	20160101	S	PAPO	www.passendonderwijsgroningen.nl
PO2201	20201201		S	PAPO	www.passendonderwijs-po-22-01.nl
PO2201	20131101	20201201	S	PAPO	www.passendonderwijs-po-22-01.nl
PO2202	20131101		S	PAPO	www.swv2202.nl
PO2203	20131001	20141002	S	PAPO	www.po2203.nl
PO2203	20141002		S	PAPO	www.po2203.nl
PO2301	20160901		S	PAPO	www.swvt-twentenoord.nl
PO2301	20130801	20160901	S	PAPO	www.swvt-twentenoord.nl
PO2302	20160927		S	PAPO	www.swv2302.nl
PO2302	20130801	20140709	S	PAPO	www.swv2302.nl
PO2302	20160101	20160927	S	PAPO	www.swv2302.nl
PO2302	20140709	20160101	S	PAPO	www.swv2302.nl
PO2303	20160615		S	PAPO	www.sinelimite.nl
PO2303	20130801	20160615	S	PAPO	www.sinelimite.nl
PO2304	20130701		S	PAPO	www.veldvaartenvecht.nl
PO2305	20131101		S	PAPO	www.2305po.nl
PO2401	20140602		S	PAPO	www.passendonderwijs-almere.nl
PO2401	20131101	20140602	S	PAPO	www.passendonderwijs-almere.nl
PO2402	20131101		S	PAPO	www.passendonderwijsnu.nl
PO2403	20190219		S	PAPO	www.pold.nl
PO2403	20131101	20190219	S	PAPO	www.pold.nl
PO2502	20131001		S	PAPO	www.swvoostachterhoek.nl
PO2503	20131101		S	PAPO	www.wsnsdoetinchem.nl
PO2504	20131101		S	PAPO	www.swvdeliemers-po.nl
PO2505	20141203	20150101	S	PAPO	www.swvapeldoornpo.nl
PO2505	20150101		S	PAPO	www.swvapeldoornpo.nl
PO2505	20130801	20141203	S	PAPO	www.swvapeldoornpo.nl
PO2506	20131101		S	PAPO	www.swv-passendwijs.nl
PO2507	20131101		S	PAPO	www.stromenland.nl
PO2508	20130801	20141014	S	PAPO	www.swvbepo.nl
PO2508	20141014	20190101	S	PAPO	www.swvbepo.nl
PO2508	20190221	20190321	S	PAPO	www.swvbepo.nl
PO2508	20190321		S	PAPO	www.swvbepo.nl
PO2508	20190101	20190221	S	PAPO	www.swvbepo.nl
PO2509	20180530		S	PAPO	www.zeeluwe.nl
PO2509	20150216	20180530	S	PAPO	www.zeeluwe.nl
PO2509	20131101	20150216	S	PAPO	www.zeeluwe.nl
PO2510	20150126	20150312	S	PAPO	www.swvrijnengeldersevallei.nl
PO2510	20150312		S	PAPO	www.swvrijnengeldersevallei.nl
PO2510	20131101	20150126	S	PAPO	www.swvrijnengeldersevallei.nl
PO2601	20151211	20180605	S	PAPO	www.swvutrechtpo.nl
PO2601	20180605	20200608	S	PAPO	www.swvutrechtpo.nl
PO2601	20200608		S	PAPO	www.swvutrechtpo.nl
PO2601	20131101	20151211	S	PAPO	www.swvutrechtpo.nl
PO2602	20130801	20140708	S	PAPO	www.swvdeeem.nl
PO2602	20140708		S	PAPO	www.swvdeeem.nl
PO2605	20190513	20200401	S	PAPO	www.profipendi.nl
PO2605	20200401		S	PAPO	www.profipendi.nl
PO2605	20131101	20190513	S	PAPO	www.profipendi.nl
PO2701	20170626		S	PAPO	www.swvkopvannoordholland.nl
PO2701	20131001	20170626	S	PAPO	www.swvkopvannoordholland.nl
PO2702	20150501	20170531	S	PAPO	www.dewestfrieseknoop.nl
PO2702	20131101	20150501	S	PAPO	www.dewestfrieseknoop.nl
PO2702	20170531		S	PAPO	www.dewestfrieseknoop.nl
PO2703	20150429	20160613	S	PAPO	www.ppo-nk.nl
PO2703	20131101	20140425	S	PAPO	www.ppo-nk.nl
PO2703	20140425	20150429	S	PAPO	www.ppo-nk.nl
PO2703	20160613		S	PAPO	www.ppo-nk.nl
PO2704	20130301		S	PAPO	www.passendonderwijs-zk.nl
PO2706	20130801		S	PAPO	www.swvwaterland.nl
PO2707	20140212	20140801	S	PAPO	www.swvamsterdamdiemen.nl
PO2707	20140801	20160414	S	PAPO	www.swvamsterdamdiemen.nl
PO2707	20160414	20190527	S	PAPO	www.swvamsterdamdiemen.nl
PO2707	20131101	20140212	S	PAPO	www.swvamsterdamdiemen.nl
PO2707	20190527		S	PAPO	www.swvamsterdamdiemen.nl
PO2708	20200801		S	PAPO	www.amstelronde.nl
PO2708	20130301	20200801	S	PAPO	www.amstelronde.nl
PO2709	20131201		S	PAPO	www.swvunita.nl
PO2710	20210101		S	PAPO	www.passendonderwijshaarlemmermeer.nl
PO2710	20131101	20140212	S	PAPO	www.passendonderwijshaarlemmermeer.nl
PO2710	20140212	20210101	S	PAPO	www.passendonderwijshaarlemmermeer.nl
PO2711	20150526	20170405	S	PAPO	www.passendonderwijsijmond.nl
PO2711	20170405		S	PAPO	www.passendonderwijsijmond.nl
PO2711	20131101	20150526	S	PAPO	www.passendonderwijsijmond.nl
PO2801	20131101		S	PAPO	www.pporegioleiden.nl
PO2802	20131203	20170509	S	PAPO	www.ppodelflanden.nl
PO2802	20170509		S	PAPO	www.ppodelflanden.nl
PO2802	20130801	20131203	S	PAPO	www.ppodelflanden.nl
PO2803	20131101		S	PAPO	www.samenwerkingsverbandwestland.nl
PO2805	20161010		S	PAPO	WWW.SWV-RIBA.NL
